B1,B2,B3,B4,B5,B6_VCID_2,B7,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
63003.93333333332,43567.63529411763,31979.85490196079,42808.80784313725,29985.988235294113,392845.8078431373,18115.737254901956,01802710,78,1550236201,00,VI,78,A,+18.3267480,0,9,United States Virgin Islands,-064.9712508,G4000,348021896,00000000000000000022
123833.3960784313,74640.82745098042,50241.364705882355,70019.79607843139,39142.53725490197,856608.0549019603,22157.662745098027,01779809,69,4644252461,00,MP,69,A,+14.9367835,0,9,Commonwealth of the Northern Mariana Islands,+145.6010210,G4000,472292529,00000000000000000023
43815.24705882353,30739.984313725476,21878.858823529416,51897.67450980392,29222.156862745105,298762.4745098041,14161.215686274507,01802705,66,934337453,00,GU,66,A,+13.4382886,0,9,Guam,+144.7729493,G4000,543555840,00000000000000000024
40291.71764705884,25443.61176470591,17336.917647058825,29013.52941176471,13632.725490196077,274578.317647059,7720.345098039215,01802701,60,1307243754,00,AS,60,A,-14.2671590,0,9,American Samoa,-170.6682674,G4000,197759063,00000000000000000029
413627.5490196075,325972.05098039185,234374.2000000002,736197.9372549024,412698.8352941172,2868672.5333333346,189458.66274509803,01779808,72,4922382562,00,PR,72,A,+18.2176480,0,9,Puerto Rico,-066.4107992,G4000,8868896030,00000000000000000031
142931.6901960783,109046.6470588235,77065.29019607841,261935.6588235293,140042.06666666697,1019593.4549019617,63307.525490196116,01219835,44,1323670487,00,RI,44,A,+41.5974187,1,1,Rhode Island,-071.5272723,G4000,2677779902,00000000000000000005
810020.1686274508,666504.6470588233,475997.415686274,2216857.431372551,1083016.0470588233,6316923.968627455,446851.3882352943,01779794,33,1026675248,00,NH,33,A,+43.6726907,1,1,New Hampshire,-071.5843145,G4000,23189413166,00000000000000000007
858293.6352941194,713383.1176470588,502374.13725490175,2493948.2352941185,1200985.5019607837,6541818.227450983,487012.556862745,01779802,50,1030416650,00,VT,50,A,+44.0685773,1,1,Vermont,-072.6691839,G4000,23874175944,00000000000000000009
507761.0549019613,405480.80784313707,315316.8862745097,1083291.0941176475,631673.6784313716,3646287.4705882333,276453.42352941143,01779780,09,1815617571,00,CT,09,A,+41.5798637,1,1,Connecticut,-072.7466572,G4000,12542497068,0000000000000000000a
3177428.843137256,2539491.5215686294,1737219.4078431372,8027633.701960792,3728486.8980392166,2.4573784360784315E7,1536538.176470587,01779787,23,11746549764,00,ME,23,A,+45.4092843,1,1,Maine,-068.6666160,G4000,79887426037,00000000000000000025
