name	description	function	returns	argument	type	details
ee.Algorithms.CannyEdgeDetector	Applies the Canny edge detection algorithm to an image. The output is an image whose bands have the same names as the input bands, and in which non-zero values indicate edges, and the magnitude of the value is the gradient magnitude.	ee.Algorithms.CannyEdgeDetector(image, threshold, sigma)	Image	image|threshold|sigma	Image|Float|Float, default: 1	
ee.Algorithms.Collection	Returns a Collection containing the specified features.	ee.Algorithms.Collection(features)	FeatureCollection	features	List	
ee.Algorithms.CrossCorrelation	Gives information on the quality of image registration between two (theoretically) co-registered images. The input is two images with the same number of bands. This function outputs an image composed of four bands of information. The first three are distances: the deltaX, deltaY, and the Euclidean distance for each pixel in imageA to the pixel which has the highest corresponding correlation coefficient in imageB. The fourth band is the value of the correlation coefficient for that pixel [-1 : +1].	ee.Algorithms.CrossCorrelation(imageA, imageB, maxGap, windowSize, maxMaskedFrac)	Image	imageA|imageB|maxGap|windowSize|maxMaskedFrac	Image|Image|Integer|Integer|Float, default: 0	
ee.Algorithms.Date	Creates a Date.	ee.Algorithms.Date(value, timeZone)	Date	value|timeZone	Object|String, default: null	
ee.Algorithms.Describe	Describes an object using a simple JSON-compatible structure.	ee.Algorithms.Describe(input)	Object	input	Object	
ee.Algorithms.Dictionary	Constructs a dictionary.	ee.Algorithms.Dictionary(input)	Dictionary	input	Object, default: null	
ee.Algorithms.FMask.fillMinima	Fills local minima.  Only works on INT types.	ee.Algorithms.FMask.fillMinima(image, borderValue, neighborhood)	Image	image|borderValue|neighborhood	Image|Long, default: null|Integer, default: 50	
ee.Algorithms.FMask.matchClouds	Runs the FMask cloud and shadow matching.  Outputs a single band ('csm'), containing the computed cloud and shadow masks.	ee.Algorithms.FMask.matchClouds(input, cloud, shadow, btemp, sceneLow, sceneHigh, neighborhood)	Image	input|cloud|shadow|btemp|sceneLow|sceneHigh|neighborhood	Image|Image|Image|Image|Float|Float|Integer, default: 50	
ee.Algorithms.Feature	Returns a Feature composed of the given geometry and metadata.	ee.Algorithms.Feature(geometry, metadata, geometryKey)	Feature	geometry|metadata|geometryKey	Geometry, default: null|Dictionary, default: {}|String, default: null	
ee.Algorithms.GeometryConstructors.BBox	Constructs a rectangle whose edges are lines of latitude and longitude.	ee.Algorithms.GeometryConstructors.BBox(west, south, east, north)	Geometry	west|south|east|north	Float|Float|Float|Float	
ee.Algorithms.GeometryConstructors.LineString	Constructs a LineString from the given coordinates.	ee.Algorithms.GeometryConstructors.LineString(coordinates, crs, geodesic)	Geometry	coordinates|crs|geodesic	List|Projection, default: null|Boolean, default: null	
ee.Algorithms.GeometryConstructors.LinearRing	Constructs a LinearRing from the given coordinates, automatically adding the first point at the end if the ring is not explicitly closed.	ee.Algorithms.GeometryConstructors.LinearRing(coordinates, crs, geodesic)	Geometry	coordinates|crs|geodesic	List|Projection, default: null|Boolean, default: null	
ee.Algorithms.GeometryConstructors.MultiGeometry	Constructs a MultiGeometry from the given list of geometry elements.	ee.Algorithms.GeometryConstructors.MultiGeometry(geometries, crs, geodesic, maxError)	Geometry	geometries|crs|geodesic|maxError	List|Projection, default: null|Boolean, default: null|ErrorMargin, default: null	
